Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.7,46.55,45.7,46.46,46.46,1005500
2019-04-02,46.52,47.14,46.27,46.69,46.69,1646900
2019-04-03,46.86,47.29,46.75,46.92,46.92,1062500
2019-04-04,47.0,47.66,46.9,47.63,47.63,593900
2019-04-05,47.9,48.14,47.72,47.96,47.96,719800
2019-04-08,47.87,48.24,47.56,48.2,48.2,538200
2019-04-09,47.71,47.88,47.2,47.66,47.66,1013100
2019-04-10,47.7,47.83,47.35,47.81,47.81,602000
2019-04-11,47.84,48.61,47.72,48.49,48.49,535200
2019-04-12,48.81,49.3,48.52,48.97,48.97,448400
