Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,23.7,24.39,23.61,24.36,24.36,3443900
2019-04-02,24.25,24.51,23.9,23.96,23.96,3037800
2019-04-03,24.38,24.5,23.76,23.87,23.87,3661600
2019-04-04,23.92,24.21,23.73,24.17,24.17,2875000
2019-04-05,24.54,25.19,24.5,25.18,25.18,3964900
2019-04-08,25.26,25.46,25.1,25.28,25.28,3253000
2019-04-09,25.07,25.09,24.56,24.64,24.64,4412100
2019-04-10,24.73,25.03,24.67,24.83,24.83,3432900
2019-04-11,24.79,24.89,24.46,24.72,24.72,4012500
2019-04-12,24.99,25.1,24.65,24.67,24.67,3057700
