Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,159.66,160.0,157.52,158.54,158.54,1151000
2019-04-02,158.0,158.39,157.16,157.64,157.64,844200
2019-04-03,157.31,157.4,155.41,156.94,156.94,956800
2019-04-04,157.78,157.78,156.69,156.97,156.97,718300
2019-04-05,156.42,156.78,155.15,155.6,155.6,929600
2019-04-08,152.46,154.51,151.52,153.39,153.39,1507200
2019-04-09,152.97,153.94,152.28,152.94,152.94,783200
2019-04-10,152.64,153.96,152.39,153.79,153.79,965000
2019-04-11,154.8,155.64,153.7,155.33,155.33,955700
2019-04-12,155.52,156.5,154.69,155.49,155.49,919400
