Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,16.9,17.4,16.82,17.39,17.39,14543400
2019-04-02,17.39,17.68,17.1,17.13,17.13,11499600
2019-04-03,17.26,17.42,16.83,16.93,16.93,11452300
2019-04-04,16.97,17.19,16.79,17.14,17.14,6670700
2019-04-05,17.17,17.72,17.17,17.7,17.7,9184800
2019-04-08,17.77,17.88,17.49,17.6,17.6,9828400
2019-04-09,17.49,17.51,17.18,17.26,17.26,8182600
2019-04-10,17.4,17.49,17.2,17.45,17.45,8858000
2019-04-11,17.31,17.54,17.06,17.19,17.19,9147800
2019-04-12,17.81,17.94,17.61,17.76,17.76,11850500
