Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,30.65,30.85,30.28,30.78,30.78,1732100
2019-04-02,30.79,30.98,30.56,30.94,30.94,3415900
2019-04-03,30.91,31.07,30.67,30.87,30.87,1988000
2019-04-04,30.97,30.97,30.63,30.8,30.8,1462700
2019-04-05,30.75,31.0,30.68,30.97,30.97,1746200
2019-04-08,31.0,31.03,30.58,30.65,30.65,2114000
2019-04-09,30.63,30.7,30.35,30.4,30.4,4279400
2019-04-10,30.54,30.84,30.4,30.83,30.83,3332000
2019-04-11,30.97,31.07,30.5,30.62,30.62,3118500
2019-04-12,30.6,30.91,30.44,30.86,30.86,2286000
