Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,318.74,319.41,314.7,318.36,318.36,794600
2019-04-02,318.96,320.88,317.05,318.43,318.43,645600
2019-04-03,322.77,325.0,319.65,321.75,321.75,770600
2019-04-04,322.0,323.98,310.47,313.15,313.15,960800
2019-04-05,314.32,315.94,310.96,311.06,311.06,877000
2019-04-08,310.21,317.07,306.46,316.9,316.9,588700
2019-04-09,315.8,319.31,314.25,317.19,317.19,442600
2019-04-10,317.65,323.01,317.6,322.25,322.25,637300
2019-04-11,324.0,324.0,319.2,322.23,322.23,550800
2019-04-12,325.0,326.49,323.12,324.77,324.77,464900
