Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,108.13,111.51,107.82,111.39,111.39,439800
2019-04-02,111.63,111.83,110.52,111.37,111.37,409700
2019-04-03,112.57,113.59,112.26,113.42,113.42,529300
2019-04-04,113.44,114.73,113.1,114.11,114.11,306400
2019-04-05,114.4,115.75,113.61,115.53,115.53,424500
2019-04-08,115.31,115.58,113.77,114.1,114.1,560500
2019-04-09,113.32,113.43,109.79,109.96,109.96,659400
2019-04-10,109.91,110.54,107.59,110.51,110.51,871900
2019-04-11,111.18,112.64,110.29,110.45,110.45,439500
2019-04-12,112.25,113.54,111.45,112.34,112.34,402600
