Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,64.54,66.1,64.4,65.64,65.64,1582800
2019-04-02,65.63,65.73,64.15,64.19,64.19,2461100
2019-04-03,64.67,65.8,64.58,65.29,65.29,1689000
2019-04-04,65.56,65.76,64.69,64.72,64.72,1024600
2019-04-05,64.74,65.56,64.74,65.45,65.45,1295000
2019-04-08,65.26,65.56,64.51,64.64,64.64,1099100
2019-04-09,64.56,64.56,63.49,63.6,63.6,1808600
2019-04-10,63.89,64.41,63.51,64.4,64.4,2039700
2019-04-11,64.86,65.15,64.45,64.57,64.57,1099800
2019-04-12,64.92,66.05,64.76,65.98,65.98,1545900
